env_step,episode_reward,env,seed,agent
2300000.0,907.2663940429688,humanoid-stand,1,iQRL
2400000.0,894.2579040527344,humanoid-stand,1,iQRL
2500000.0,894.0220642089844,humanoid-stand,1,iQRL
2600000.0,902.9157653808594,humanoid-stand,1,iQRL
2700000.0,908.0087280273438,humanoid-stand,1,iQRL
2800000.0,906.1138488769532,humanoid-stand,1,iQRL
2900000.0,907.880340576172,humanoid-stand,1,iQRL
3000000.0,899.9795959472656,humanoid-stand,1,iQRL
100000.0,6.83895446062088,humanoid-stand,2,iQRL
200000.0,256.2614013671875,humanoid-stand,2,iQRL
300000.0,377.6946685791016,humanoid-stand,2,iQRL
400000.0,435.6092803955078,humanoid-stand,2,iQRL
500000.0,485.64548950195314,humanoid-stand,2,iQRL
600000.0,488.03736572265626,humanoid-stand,2,iQRL
700000.0,536.9314575195312,humanoid-stand,2,iQRL
800000.0,589.6307495117187,humanoid-stand,2,iQRL
900000.0,622.7611083984375,humanoid-stand,2,iQRL
1000000.0,699.7124633789062,humanoid-stand,2,iQRL
1100000.0,799.2635192871094,humanoid-stand,2,iQRL
1200000.0,851.7522888183594,humanoid-stand,2,iQRL
1300000.0,805.2883422851562,humanoid-stand,2,iQRL
1400000.0,866.6720764160157,humanoid-stand,2,iQRL
1500000.0,880.2852966308594,humanoid-stand,2,iQRL
1600000.0,880.5186767578125,humanoid-stand,2,iQRL
1700000.0,896.001123046875,humanoid-stand,2,iQRL
1800000.0,887.4767761230469,humanoid-stand,2,iQRL
1900000.0,880.7710510253906,humanoid-stand,2,iQRL
2000000.0,900.54833984375,humanoid-stand,2,iQRL
2100000.0,888.3735656738281,humanoid-stand,2,iQRL
2200000.0,898.8089660644531,humanoid-stand,2,iQRL
2300000.0,902.2467407226562,humanoid-stand,2,iQRL
2400000.0,913.292901611328,humanoid-stand,2,iQRL
2500000.0,909.1629150390625,humanoid-stand,2,iQRL
2600000.0,911.9804138183594,humanoid-stand,2,iQRL
2700000.0,893.1314392089844,humanoid-stand,2,iQRL
2800000.0,891.6179504394531,humanoid-stand,2,iQRL
2900000.0,916.751708984375,humanoid-stand,2,iQRL
3000000.0,918.2960632324218,humanoid-stand,2,iQRL
100000.0,4.685462176799774,humanoid-stand,3,iQRL
200000.0,285.491276550293,humanoid-stand,3,iQRL
300000.0,367.2849975585938,humanoid-stand,3,iQRL
400000.0,421.0440338134766,humanoid-stand,3,iQRL
500000.0,438.0420227050781,humanoid-stand,3,iQRL
600000.0,521.769418334961,humanoid-stand,3,iQRL
700000.0,552.8796325683594,humanoid-stand,3,iQRL
800000.0,743.5660705566406,humanoid-stand,3,iQRL
