eval/return/yrp54ccz,eval/return/8ijn9b1d,eval/return/7l4hzuv5,eval/return/jhd24ua7,eval/return/i91cq4vx,eval/return/r1njeml3,eval/return/9lpcpxmp,eval/return/3kbjkcq7,eval/return/53rner56,eval/return/7abx8o9g,step,wallclock
159042.578125,152385.28125,154968.828125,142217.46875,145570.625,155749.46875,152273.234375,157034.484375,152282.21875,148773.4375,749970.0,0.223398796454072
158361.46875,135999.4375,156143.921875,142340.359375,145999.609375,157197.078125,152433.703125,158479.796875,153787.703125,150412.75,766636.0,0.2283632141530514
158949.09375,155994.8125,154966.703125,142142.078125,145797.796875,157539.5,151174.703125,159230.515625,152969.25,148875.328125,783302.0,0.2333276318520308
159310.4375,146064.546875,155819.34375,142600.234375,145272.625,157200.046875,152245.984375,159129.265625,156332.71875,148578.5,799968.0,0.23829204955101016
159194.765625,155909.3125,156799.59375,142435.703125,142255.859375,151803.90625,152569.109375,155471.109375,159259.21875,149192.3125,816634.0,0.24325646724998953
159042.734375,156370.859375,157306.859375,142394.484375,144866.09375,157344.5625,152522.78125,158761.65625,164231.765625,151028.734375,833300.0,0.2482208849489689
158972.28125,156733.234375,157007.296875,142309.5,145445.40625,156282.859375,151621.078125,158946.796875,159233.171875,150043.875,849966.0,0.2531853026479483
159083.953125,157161.828125,156516.71875,142416.09375,147150.90625,157367.171875,152294.90625,159090.59375,158803.25,148173.828125,866632.0,0.2581497203469277
159082.453125,154620.375,157154.125,142447.203125,142835.28125,154001.984375,152174.015625,155640.734375,158586.671875,148639.453125,883298.0,0.26311413804590705
158194.96875,156997.359375,157057.375,142201.078125,144644.515625,157089.609375,152263.28125,156982.46875,158655.453125,148654.578125,899964.0,0.2680785557448864
158931.890625,157106.015625,156660.0,142259.453125,147711.890625,153754.734375,151309.671875,155981.484375,157685.84375,148544.75,916630.0,0.2730429734438658
158567.40625,156293.6875,156911.515625,142081.671875,157485.921875,157053.03125,152430.828125,158064.078125,159078.21875,148697.328125,933296.0,0.2780073911428452
159007.6875,156272.265625,156487.8125,142340.8125,151258.734375,158219.796875,152044.34375,156165.328125,155687.1875,149526.375,949962.0,0.28297180884182455
159173.609375,156897.578125,156502.921875,142537.203125,154525.25,158276.625,152402.359375,157202.890625,159971.78125,150046.09375,966628.0,0.2879362265408039
159240.65625,156948.875,157002.828125,142643.65625,150359.234375,158537.03125,152022.15625,157282.671875,159363.234375,148596.8125,983294.0,0.29290064423978335
159268.46875,156849.734375,157199.171875,143773.96875,154590.0625,157374.984375,152787.96875,157237.15625,155749.0625,148359.78125,999960.0,0.2978650619387627
159243.03125,156570.65625,153671.921875,142858.5,150902.828125,159026.15625,152303.875,159342.96875,155181.828125,148030.609375,1016626.0,0.3028294796377421
159370.046875,156902.25,156728.421875,142991.375,153982.171875,159030.046875,152511.28125,158333.9375,155752.8125,148575.84375,1033292.0,0.30779389733672147
159235.859375,156761.578125,156659.59375,146163.984375,114542.9296875,159102.703125,152443.25,157036.6875,155297.578125,148537.359375,1049958.0,0.31275831503570084
158918.078125,156918.765625,156463.484375,142488.6875,156840.9375,157068.46875,152518.375,157399.796875,154826.609375,148113.90625,1066624.0,0.3177227327346802
158902.53125,156579.828125,156398.421875,142015.390625,155670.1875,159339.21875,152866.8125,156733.734375,153213.9375,148835.09375,1083290.0,0.3226871504336596
158699.265625,154114.4375,157133.703125,144307.609375,159195.328125,158921.359375,152407.390625,157444.71875,158718.171875,149993.671875,1099956.0,0.32765156813263896
157640.46875,156794.65625,156823.78125,141980.296875,158350.09375,159372.5625,152299.234375,158148.25,156030.71875,150443.640625,1116622.0,0.33261598583161833
155100.9375,157080.25,156842.671875,146709.84375,157025.84375,159047.875,152459.96875,156433.59375,159638.25,148754.6875,1133288.0,0.3375804035305977
157800.84375,156902.8125,156931.78125,137533.671875,158305.1875,158823.125,152536.40625,158989.34375,155866.90625,148362.296875,1149954.0,0.3425448212295771
157879.546875,157157.671875,156873.484375,128411.609375,158711.34375,153525.234375,152463.359375,159284.75,156401.5625,148007.984375,1166620.0,0.3475092389285565
158561.734375,154316.34375,156239.265625,138918.9375,158356.625,157976.703125,152502.328125,158920.625,154288.8125,140591.40625,1183286.0,0.3524736566275359
158513.34375,157237.28125,156218.640625,135810.21875,156057.796875,159033.90625,152549.8125,161056.015625,158770.53125,146135.1875,1199952.0,0.35743807432651525
159337.609375,156157.03125,156415.09375,150400.921875,155627.0,158786.515625,152277.5625,163340.234375,157720.6875,144437.84375,1216618.0,0.3624024920254946
151800.875,157121.203125,156334.515625,149538.1875,148080.3125,159376.1875,152691.921875,160421.78125,157931.5625,141696.90625,1233284.0,0.367366909724474
158818.546875,157067.953125,157000.828125,115734.15625,146508.421875,158717.125,156198.71875,160297.09375,158542.984375,147707.984375,1249950.0,0.3723313274234534
158729.546875,156860.40625,135506.984375,149752.453125,160324.75,159686.109375,152767.09375,161177.59375,158701.203125,148241.546875,1266616.0,0.37729574512243275
159304.828125,156011.171875,155758.234375,147199.234375,158924.15625,159641.078125,152493.34375,161901.796875,158985.4375,143422.0,1283282.0,0.3822601628214121
150665.46875,156935.609375,156594.75,141598.1875,158106.71875,159879.578125,154068.53125,160982.375,159011.0,143671.53125,1299948.0,0.3872245805203915
158474.25,153010.796875,156552.015625,141402.6875,160652.484375,159506.0,152776.828125,163290.3125,159453.265625,148652.203125,1316614.0,0.39218899821937087
158709.59375,149143.40625,156637.5,157684.046875,156064.09375,159877.96875,152954.734375,163390.921875,159664.0,147588.390625,1333280.0,0.3971534159183503
158958.5625,156189.046875,155696.28125,156659.96875,156413.453125,159810.109375,155449.640625,164136.546875,159774.046875,150230.09375,1349946.0,0.40211783361732967
157849.3125,156569.140625,156395.3125,158116.765625,167267.40625,159989.921875,156510.84375,162987.515625,159653.59375,149238.34375,1366612.0,0.40708225131630904
158545.515625,155306.84375,157105.03125,157578.75,163361.890625,159149.28125,153998.171875,164262.984375,159936.953125,149886.9375,1383278.0,0.4120466690152884
159055.96875,157307.71875,154219.609375,153137.515625,164337.5,159521.28125,152880.5,163812.640625,158493.515625,148168.375,1399944.0,0.4170110867142678
159327.84375,155500.375,157146.515625,148010.328125,164413.9375,157238.71875,156953.359375,164364.078125,159608.25,150185.90625,1416610.0,0.42197550441324716
144652.125,156938.75,157130.03125,159042.703125,161121.1875,159277.65625,78340.8671875,163547.890625,159602.046875,150433.1875,1433276.0,0.42693992211222653
158833.515625,157110.109375,157059.34375,156530.8125,150578.40625,159728.0625,151681.65625,163930.4375,158678.3125,151044.5,1449942.0,0.4319043398112059
159076.015625,156945.6875,156379.515625,156134.34375,163139.25,159770.09375,151461.546875,163692.125,159926.375,149355.625,1466608.0,0.4368687575101853
159267.296875,157065.65625,157031.734375,156515.390625,168906.3125,159692.390625,147643.859375,161920.15625,160112.015625,152854.5,1483274.0,0.44183317520916465
159265.21875,157262.984375,157214.875,158893.015625,170534.421875,159568.734375,152165.796875,164318.984375,159689.140625,150463.0,1499940.0,0.446797592908144
158527.421875,156705.109375,157056.5,157554.328125,168263.140625,159629.890625,147096.296875,162740.671875,159421.1875,149944.578125,1516606.0,0.45176201060712345
159334.78125,157041.5,157201.296875,159037.890625,169741.6875,152535.5625,134801.5,164007.953125,159605.125,149938.421875,1533272.0,0.4567264283061028
156401.875,155973.3125,156793.234375,158624.53125,167863.796875,159526.09375,150489.796875,164266.5,160117.640625,150016.71875,1549938.0,0.4616908460050822
158890.3125,156849.484375,156876.953125,159504.8125,171026.390625,159467.03125,153150.828125,164423.40625,159491.953125,149786.28125,1566604.0,0.4666552637040616
159252.65625,155832.609375,157256.15625,158573.359375,170268.75,159753.078125,146497.828125,163803.53125,160118.046875,150513.9375,1583270.0,0.47161968140304095
154805.640625,157445.328125,156957.078125,157153.375,171757.453125,157662.171875,140944.1875,164506.703125,159092.5625,150866.953125,1599936.0,0.4765840991020203
159375.421875,155976.328125,155692.640625,158843.59375,171334.8125,159341.75,148431.53125,162246.9375,159078.734375,150154.578125,1616602.0,0.4815485168009997
158971.875,156371.5,156183.265625,157386.0,166533.65625,159874.21875,149586.421875,162735.390625,160158.71875,150296.265625,1633268.0,0.48651293449997907
158827.234375,155727.515625,157433.5,156135.9375,170933.796875,159908.15625,150434.8125,163741.9375,159907.8125,150394.203125,1649934.0,0.49147735219895844
157395.140625,157102.265625,155718.25,157564.421875,170056.125,159006.28125,150660.90625,162072.125,158942.046875,151759.453125,1666600.0,0.4964417698979378
155186.078125,156399.359375,156664.859375,159212.5,171260.46875,159584.9375,153561.140625,161265.890625,159750.40625,150492.140625,1683266.0,0.5014061875969172
140114.3125,156203.125,157484.578125,157041.359375,171338.34375,159632.484375,151083.6875,163067.328125,159008.859375,147086.734375,1699932.0,0.5063706052958966
157655.65625,156322.671875,157338.171875,158056.4375,171012.984375,159887.515625,152652.3125,161988.015625,159533.375,150197.296875,1716598.0,0.511335022994876
154920.203125,156522.203125,156610.515625,157236.375,167177.65625,159881.328125,156332.46875,161222.34375,156671.921875,152164.28125,1733264.0,0.5162994406938554
158173.765625,155899.765625,157040.65625,159290.8125,171147.390625,159807.3125,155316.234375,161427.984375,141948.515625,150844.796875,1749930.0,0.5212638583928347
154269.59375,156900.484375,156996.921875,158364.53125,170848.046875,159746.859375,151622.828125,163701.0,150593.4375,151201.09375,1766596.0,0.5262282760918141
